year,category,category_slug,category_url,rank,rank_label,venue_idx,name,venue_url,profile_url,address,postcode,lat,lon,geocode_source
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,7,seventh,49,Foodilic,https://www.foodilic-westernroad.com/,https://restaurantsbrighton.co.uk/foodilic-brighton/,"163 Western Road, Brighton, BN1 2BB",BN1 2BB,50.824431,-0.148789,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,8,eighth,5,Indian Summer,https://restaurantsbrighton.co.uk/indian-summer-brighton-restaurant/,https://restaurantsbrighton.co.uk/indian-summer-brighton-restaurant/,"70 East Street, Brighton BN1 1HQ",BN1 1HQ,50.820397,-0.139095,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,9,ninth,61,Oowee Vegan,https://restaurantsbrighton.co.uk/oowee-vegan/,https://restaurantsbrighton.co.uk/oowee-vegan/,"23 Market St, Brighton and Hove, Brighton BN1 1HH",BN1 1HH,50.821460,-0.139763,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,10,tenth,62,Cielo Cakery,https://cielocakery.co.uk/,,,,,,
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,11,eleventh,63,Siam Siam,https://www.siamsiambrighton.com/,,,BN1 2HG,50.822725,-0.151227,ONSPD via Nominatim postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,12,twelfth,64,Planet India,https://restaurantsbrighton.co.uk/planet-india-brighton/,https://restaurantsbrighton.co.uk/planet-india-brighton/,"4 Richmond Parade, BN2 9PH",BN2 9PH,50.827128,-0.133659,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,13,thirteenth,65,Food For Friends,https://restaurantsbrighton.co.uk/food-for-friends/,https://restaurantsbrighton.co.uk/food-for-friends/,"17-18 Prince Albert Street Brighton, East Sussex BN1 1HF",BN1 1HF,50.821274,-0.140849,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,14,fourteenth,66,Hope & Ruin (Beelzebab),https://www.beelzebab.com/,,,BN1 3WA,50.824604,-0.143230,ONSPD via Nominatim (Sussex bbox)
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,15,fifteenth,67,Manjus,https://restaurantsbrighton.co.uk/manjus-brighton/,https://restaurantsbrighton.co.uk/manjus-brighton/,"6 Trafalgar St, Brighton BN1 4EQ",BN1 4EQ,50.828000,-0.137018,ONSPD via venue page postcode
2026,Plant Champions,plant_champions,https://restaurantsbrighton.co.uk/plant-based-brighton/,16,sixteenth,68,Iydea Brighton,https://www.instagram.com/iydeabrighton/,,,BN1 4AL,50.826267,-0.138904,ONSPD via Nominatim postcode
